English1,M1,Physics,CP,EVS,Mechanics,English2,M2,PEM,Engg.Drawing,MEFA,CPP,DS,MFCS,DLD,Prob_Stat,Java,ADS,CO,FLAT,CD,Data_communication,PPL,DBMS,OS,Placed_Status
54,23,22,43,50,44,58,52,67,32,59,61,51,62,46,54,37,61,52,53,44,44,50,63,58,0
65,72,41,51,67,59,69,81,69,86,55,71,53,61,85,74,47,57,63,55,63,55,47,64,60,0
74,55,66,61,66,57,66,67,58,62,63,70,56,86,74,80,74,70,78,72,78,71,86,70,20,0
62,21,25,47,64,20,61,29,65,68,43,59,50,53,42,59,38,40,54,56,29,29,21,18,25,0
61,17,13,25,74,25,76,27,75,32,61,40,40,54,23,23,33,69,51,50,34,43,29,42,61,0
73,65,62,47,64,57,62,68,45,53,50,69,52,70,63,81,47,59,67,49,67,58,65,59,24,0
62,19,15,43,60,23,67,17,31,59,33,41,45,50,41,30,52,58,24,50,31,34,56,60,25,0
65,22,87,21,60,37,50,43,63,49,32,42,43,31,14,28,36,31,34,25,53,41,47,51,10,0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
